ea_id,LAT_DD_MOD,LON_DD_MOD
10735173,-11.551744,34.194054
10735173,-11.534314,34.185254
10736596,-11.4556,33.9885
10735173,-9.663556,33.240057
10736596,-11.4556,33.9885
10735173,-11.4669,34.0078
10736596,-11.4556,33.9885
10735173,-11.4669,34.0078
10736596,-11.4556,33.9885
10735173,-11.4669,34.0078
10736596,-11.4556,33.9885
10735173,-11.4669,34.0078
10736596,-11.4556,33.9885
10736596,-13.056942,33.492648
10736596,-12.943309,34.284473
10735173,-11.4669,34.0078
10736596,-11.4556,33.9885
10735173,-11.4669,34.0078
10736596,-11.4556,33.9885
10735173,-11.4669,34.0078
10735173,-9.844290000000001,33.837671
10744649,-11.4736,34.0151
10735173,-11.4669,34.0078
10744649,-11.4736,34.0151
10741504,-11.445,34.0306
10741504,-11.48572,33.993778
10741504,-11.445,34.0306
10744649,-11.4736,34.0151
10741504,-11.445,34.0306
10744649,-11.4736,34.0151
10741504,-11.445,34.0306
10741504,-15.832219,35.012515
10744649,-11.4736,34.0151
10741504,-12.485778,34.148709
10741504,-11.445,34.0306
10744649,-11.4736,34.0151
10741504,-11.445,34.0306
10744649,-11.4736,34.0151
10744649,-12.024153,33.39528
10741504,-11.445,34.0306
10744649,-11.4736,34.0151
10741504,-11.445,34.0306
10744649,-11.4736,34.0151
10741504,-11.445,34.0306
10741504,-10.383056,34.20889
10744649,-14.307212,34.362734
10741504,-11.445,34.0306
10741504,-11.445,34.0306
10741504,-13.033783,33.499483
10744649,-11.409529,34.004437
10741504,-11.445,34.0306
10744649,-11.4736,34.0151
10741504,-11.445,34.0306
10741504,-11.445,34.0306
10741504,-10.87504,33.451578
10744649,-11.909332,33.614972
10744649,-15.599842,34.51495
10741504,-11.445,34.0306
10741504,-11.37689,33.887753
10744649,-9.705749000000001,33.542253
10741504,-11.445,34.0306
10741504,-11.445,34.0306
10741504,-11.445,34.0306
10741504,-11.478144,33.999858
10744649,-11.4736,34.0151
10741504,-11.445,34.0306
10746244,-11.4697,33.9869
10741504,-11.445,34.0306
10746244,-14.177647,34.986985
10746033,-11.4608,33.9739
10746033,-11.73752,33.516527
10746244,-11.4697,33.9869
10746244,-11.4697,33.9869
10746244,-11.4697,33.9869
10746033,-11.4608,33.9739
10746244,-11.4697,33.9869
10746033,-11.4608,33.9739
10746244,-11.4697,33.9869
10746244,-16.07217,35.108012
10746033,-11.4608,33.9739
10746033,-12.352419,33.639329
10746244,-11.4697,33.9869
10746033,-11.4608,33.9739
10746244,-11.4697,33.9869
10746033,-11.4608,33.9739
10746244,-11.4697,33.9869
10746244,-11.41689,33.986358
10746033,-11.4608,33.9739
10746244,-11.83858,33.635161
10746033,-11.4608,33.9739
10746244,-11.4697,33.9869
10746033,-11.4608,33.9739
10746244,-11.4697,33.9869
10746033,-11.4608,33.9739
10746033,-11.4608,33.9739
10746033,-11.4608,33.9739
10746033,-11.347255,33.755875
10746244,-11.4697,33.9869
10746244,-11.946873,33.472675
10746033,-11.4608,33.9739
10746244,-11.4697,33.9869
10746033,-11.4608,33.9739
10746244,-11.4697,33.9869
10746244,-11.4697,33.9869
10746033,-11.879796,34.134054
20106042,-13.0738,33.4721
20106042,-13.0738,33.4721
10746033,-11.4608,33.9739
20106042,-13.0738,33.4721
20110620,-14.389746,34.3274
20110620,-12.920244,33.352289
20106042,-13.0738,33.4721
20106042,-13.0738,33.4721
20110620,-12.8937,33.373
20106042,-13.0738,33.4721
20110620,-12.8937,33.373
20106042,-13.0738,33.4721
20106042,-12.935889,33.336553
20110620,-12.8937,33.373
20106042,-13.0738,33.4721
20110620,-12.8937,33.373
20106042,-13.0738,33.4721
20110620,-12.8937,33.373
20106042,-13.0738,33.4721
20106042,-13.0738,33.4721
20110620,-12.569937,33.505609
20106042,-12.931131,34.30002
