logFCS,logFCS_new
3.624341,3.7127054
3.6375861,3.7127054
4.1743875,3.7127054
3.7376697,3.6742821
3.8918202,3.6742821
4.2484951,3.6742821
3.7612002,3.6742821
3.5263605,3.6742821
3.6635616,3.6742821
3.7256935,3.6742821
4.0163832,3.6742821
3.9982007,3.6742821
3.9415817,3.6742821
3.5409594,3.6742821
3.8607297,3.6742821
3.4965076,3.6742821
3.3843904,3.6742821
3.9019728,3.6742821
4.1026435,3.6742821
3.8918202,3.6742821
3.8501475,3.6742821
3.8394523,3.6742821
3.6506581,3.6742821
3.3322046,3.6742821
3.7376697,3.6742821
3.7376697,3.6742821
3.7376697,3.6742821
3.3322046,3.6742821
3.5115454,3.814801
3.8501475,3.6742821
3.6888795,3.6742821
4.0604429,3.6742821
3.583519,3.6742821
3.6109178,3.6742821
3.4965076,3.6742821
3.7376697,3.7082045
3.7841897,3.7082045
3.4499876,3.7082045
4.1108737,3.7082045
3.713572,3.7082045
3.4339871,3.7082045
3.4965076,3.7082045
3.3843904,3.7082045
3.7841897,3.7082045
3.6763008,3.7082045
3.0445225,3.6742821
3.9219732,3.814801
3.7841897,3.7082045
3.4965076,3.7082045
3.7612002,3.814801
3.8501475,3.7082045
3.1354942,3.814801
3.6375861,3.814801
3.3322046,3.814801
4.4426513,3.6742821
3.9120231,3.814801
3.4177268,3.814801
4.0430512,3.814801
4.0604429,3.814801
3.8066626,3.7889488
3.3672957,3.814801
3.3672957,3.814801
3.6506581,3.814801
3.7013021,3.814801
3.5263605,3.814801
4.1820502,3.814801
3.7954891,3.814801
3.6635616,3.814801
3.9318256,3.814801
3.5263605,3.814801
3.9796817,3.814801
3.9608133,3.814801
4.1431346,3.6965258
4.0430512,3.814801
3.8394523,3.814801
3.8501475,3.814801
3.7256935,3.814801
4.2626801,3.814801
4.1743875,3.814801
3.6109178,3.814801
3.5409594,3.814801
4.1743875,3.814801
4.0604429,3.814801
3.9019728,3.814801
4.7004805,3.814801
4.1743875,3.6965258
4.1108737,3.8452857
4.4067192,3.8452857
3.1570003,3.8452857
3.9702919,3.8452857
3.7954891,3.8452857
3.8501475,3.8452857
3.9702919,3.8452857
4.1271343,3.8452857
4.3307333,3.8452857
3.7256935,3.8452857
3.3843904,3.8452857
3.5263605,3.8452857
3.713572,3.8452857
3.7256935,3.8452857
3.2958369,3.8452857
3.5409594,3.8452857
3.6635616,3.8452857
3.3672957,3.8452857
3.8286414,3.8452857
3.8394523,3.6846943
3.9889841,3.6846943
4.0604429,3.6732135
4.1431346,3.7122169
3.9318256,3.7221315
3.4965076,3.6846943
4.4067192,3.6846943
4.4773369,3.6846943
3.6888795,3.6875477
4.0253515,3.6846943
3.713572,3.6365795
4.1588831,3.6846943
3.7727609,3.8456628
3.7612002,3.8456628
4.3694477,3.8456628
3.5695326,3.8456628
3.7841897,3.8456628
3.9702919,3.8456628
3.3141861,3.8456628
3.4011974,3.6875477
3.6375861,3.8456628
3.8918202,3.8456628
3.9608133,3.8456628
