"","FNID","date","V","IPC","chirps_mean","chirps_min","chirps_max","EFF_YEAR","COUNTRY","ADMIN2","ADMIN3","chirps_mean_w.sum","chirps_max_w.sum","chirps_min_w.sum","price_mean","FNID_OLD.y","price_w"
"5379","MW2012C3030716","2014-03","V32",NA,88.94184373,61.04423523,111.2985992,2012,"MW","Thyolo",NA,248.069979352534,310.42577989866,170.260043394958,98.58037,"10922716",153.443722731535
"5380","MW2012C3030716","2014-04","V32"," 1",57.36376546,42.12840652,79.59485626,2012,"MW","Thyolo",NA,159.994750687251,222.000056676654,117.501419998634,83.57871,"10922716",127.776910581103
"5381","MW2012C3030716","2014-05","V32"," 1",34.42370332,19.81716156,56.78795242,2012,"MW","Thyolo",NA,96.0120345352118,158.388735757121,55.2725539841363,81.882116,"10922716",124.060604316738
"5382","MW2012C3030716","2014-06","V32",NA,19.38382023,9.425640106,34.3713913,2012,"MW","Thyolo",NA,54.0639105574041,95.8661297374578,26.289294761844,82.122628,"10922716",123.586518611973
"5383","MW2012C3030716","2014-07","V32"," 1",22.83120637,10.65603828,34.06387329,2012,"MW","Thyolo",NA,63.6791037297665,95.0084233622356,29.7210298914434,82.228554,"10922716",123.692668206857
"5384","MW2012C3030716","2014-08","V32",NA,15.17609948,7.00446558,25.47821426,2012,"MW","Thyolo",NA,42.3280486076293,71.0619413805314,19.5363347434189,84.902246,"10922716",126.959014913733
"5385","MW2012C3030716","2014-09","V32"," 1",13.76077,6.65601635,25.30855942,2012,"MW","Thyolo",NA,38.380516825553,70.5887527114993,18.5644660518511,68.907468,"10922716",105.39010070409
"5386","MW2012C3030716","2014-10","V32"," 1",22.14313748,15.2186718,30.10466003,2012,"MW","Thyolo",NA,61.7599931269597,83.9656800316384,42.4467881581096,76.349746,"10922716",114.194580468666
"5387","MW2012C3030716","2014-11","V32",NA,52.45051107,42.6849823,63.89756775,2012,"MW","Thyolo",NA,146.291066752151,178.218346367303,119.053779793106,83.792004,"10922716",122.999038389812
"5388","MW2012C3030716","2014-12","V32",NA,261.7658175,227.3262329,296.6049805,2012,"MW","Thyolo",NA,730.097760729479,827.268564522413,634.04143130857,85.199544,"10922716",124.556487497802
"5389","MW2012C3030716","2015-01","V32"," 1",284.0726863,243.9771423,347.5833435,2012,"MW","Thyolo",NA,792.314421083791,969.453625304669,680.482910120255,116.01224,"10922716",160.004944959058
